reviewId,content,score
6d90c080-78a5-4364-890d-4b53744c0ae3,Osm,4
93e2f4cf-4fc4-4d43-a881-3d764facd9b9,Great experience Great experience,5
407d947c-d218-4411-a011-90cc9045acd4,Very amazing,5
9c9a0f58-dfdb-4b23-82bf-03ca80efa1b2,Gxdfu,5
290f3363-9f3f-4b23-9ee4-e80646507581,I love this app ❤️❤️❤️❤️😍😍😄,5
27cd5b22-c8e2-4953-9e9f-934954021554,Not properly work,1
099ab5ef-2e48-4ecf-a081-625752d06b22,Shubhagi SantosNarwade,5
368f4e2c-5061-442f-90eb-b3906310957d,Bonus please,5
079396b2-5ae0-41ab-bb93-8d33f78f18a2,Abc,3
fcae1693-74f6-4b88-a4c8-69d0b9ecfa3f,Tq,5
ed8a9bea-a08b-412e-ab27-582cc4d54baa,Nice app,5
80afe259-54f8-4086-87c9-5b4bc1379027,"Its a good app, usually I would put a higher rating but Instagram really gets on my nervs lately. It's sending me notifications when running in the background but when I open the app I have to ""manually"" refresh the app a few times before I can see the actual notification in the app. This happens as well with messages. As soon as I open the message section I only see my chats from almost 2/3 months ago after refreshing it a few times I can see the new messages again.",3
e9861bd8-8dce-4e09-9fca-87a5cbe3fca4,Before i was able to save the reels with music but now we are only able to save the video without music fix it as soon as possible,2
56fcef6f-1424-491a-8933-4eea1940f750,Nice,5
dc4057bf-a403-40de-9241-ba0b4c1753da,Amazing this app,5
8b472291-6b93-4199-aeaa-b8a6573bf2ad,Nice gram,5
760feb6f-ad3f-4d99-9ca4-6678fc80234e,Bast app,4
4d4fb27e-bd8e-4196-8f1d-135e326a742d,Noob,1
0946c68f-4fb8-4837-8cac-beec4d57280c,App keeps stopping in new note10+ phone,2
4c9375ad-60d7-45df-a9dd-fe28d8972f56,I. Love you insagram,4
d88e6717-f862-4694-a03a-d280b3005414,Decent I suppose mostly use this app for pictures and such,5
5b0c3725-9bbd-4903-b265-3f15e7d11044,Thanks instagram for connect everyone from anywhere,5
b7749af8-f841-4235-a41f-8d55fed4b85d,Nice app 👍,5
5b928be6-544f-4b78-805e-f24e58b16aaa,I like this aap ☺,5
8437f8b1-2c54-4124-84b6-3a2927744eeb,Bhi,5
0768d3cb-2028-45f1-af70-aaa2a01947f6,Not updating my messenger very bad update,1
2dd3cbfd-4b54-453a-b19f-5db3fa1b57f8,Great,5
a85720fb-e029-42f1-8c8c-5abfb5a551c3,viral may accound pleess id gwtufan,5
1567c684-bbd4-449e-8522-4f97dd4c49e8,Viral vide please I'd rajunameha,5
47ac3a0a-2b1d-43ef-9913-7b264d1689cf,Good app,5
70c7d6a4-f46e-446c-a514-8c7b6dcc7896,👍,5
f47d6968-f68a-4237-8d6d-cb540eee2c1b,Best experience,5
a44ace11-6fa4-4c6f-a94b-ed248bb4ae38,Amazing Just amazing,5
fab6d4bf-d197-4ecb-bd64-21da2ae07ab0,"Unable to use it. The videos won't play, can't check any stories or reel.",2
cfda6984-9a33-44db-a5b8-7c530b723d17,Hi team my insta account follow request not accept after 30 day ago your team not resolution plz check my account,1
ec3ce8e6-0172-477d-b5ec-225256f10cba,I like this insta,5
84a76e0e-4bed-4d11-9128-47a9f77d11d2,It's fun and I meet a lot of good people that like the same things I do and I learn a lot too thanks,5
1a527a23-6254-40a8-ac4c-c826180082c9,This app's biggest problem is login problem. Yes not opening login page white page error,3
d90e5247-bb02-475c-a7c0-6b9dbce373b1,Nice insta,5
b2f914c3-1bd4-4738-9755-8b4a070cf6bc,💞💕,5
b0cf4b04-47f0-4d54-9082-e1da3cfb2128,app is not working,1
383676c1-3a9e-4ce2-88f3-9f8596ae8f7b,My life...reach 1k followers... support @cgu_boy_11....tq,5
dae2c88b-5439-44d7-b7ce-777e29cd9c1a,Oo nice,5
3afcc78f-62cd-40dd-ba98-bf3d20e5cd4d,Too many glitches are there...,1
d2684b70-da37-41d9-99de-f73af690a524,Very good,5
ee3fbc9f-26db-40b5-a663-48e7526ff282,This app is very interesting plz Download guys,5
a338541f-4554-485c-accc-956702ee4322,best best best,5
ce014faf-99ee-4e0b-a76e-6364609de7a4,Story not loading There some issue of story Ani post loading And reels are not loading,4
c0e89e22-5348-4217-9005-1a57eff49f6b,Wow this is super bro this helps me to talk and chat with my girlfriends and boys. TQ so much for creating this one,5
b03883f0-c139-469c-b783-f936b9cd076c,Funny🤣😝 app but amazing😍🤩👍,5
0e331020-2fd0-4502-8137-90a3b2f12716,Wow Instagram,5
106cd035-714f-4be9-801a-7b9fe8923dd8,Thank you aap ki vajha se meri cursh mujh se pat gai,5
60da9e83-e1c1-4385-b34a-986ecfd3f2bd,Instagram very good platform earning and you famous and you friend and family and very good very good app,5
12c76975-7533-4d7e-8ae0-35f07e9e3ee1,O ho,5
b66f84c4-a09b-4017-919a-2df2ee14e22a,Very bad,1
9326b5f8-1d69-4cce-ae92-a9d2b115a3a7,💝💝💝💝,4
021b96c9-4119-42ec-8947-e963a9276f1d,Nice app,5
e78eb671-6323-4ae2-988f-c0e604e367b7,❣️✨✨✨,1
c379373a-86f2-4704-930f-1150c4204f86,Zindagi,5
389b9594-a6cb-4475-819d-7b51d79974bd,Seru bet dh...,5
8b836759-4916-48d3-af7f-8efc4f2942e4,Verry nice 👍 app,5
b50b4b4c-8535-4bf0-a425-aa537bfc4264,Very nice 👍,5
cfd7d862-78cc-4b9f-8e14-38abad1fe31d,This app is awesome,5
1a2fd040-94c4-4c2b-9716-a9cb3c02db3e,This app features is so much better,5
da1ad854-6fec-4eb3-92d6-dd237a438b4b,Not bad,3
b624dada-72b8-4891-a71b-a8525cc8cdc6,"Am new on Instagram but am enjoying ever bit of it , thank you for your services. But am requesting for Instagram to work on music useage . Am a business owner but I have limited access to music.",5
55c307c1-5104-4a9f-8248-c5b9c65505ed,Good 😊,5
87d958cf-b98a-421f-9e70-a91f49ff5754,Instagram didn't updated in my mobile... Please fix this soon,4
c437bb59-f805-4c34-a9cc-40f5daca8fed,Qedilb XUV chzxv pachhina Me room qwettuioppadfsasdfgjkasfjll,5
a31fd78e-2eb1-483b-842c-cf9db69b8197,💘😄👍,5
7728dd7a-18cf-42cb-a06e-d700fef337fb,Love you 😍,5
